place_id,name,aliases,address,sido,sigungu,lat,lng,lat_min,lat_max,lng_min,lng_max,google_maps_url,naver_maps_url,match_method,match_confidence,source_ids,display_name,elevation,slope,aspect,ridge_id
plc_001,대구,대邱|달성,대구광역시,대구광역시,,35.8713,128.6018,35.6067585,36.3271116,128.3511837,128.8994336,"https://www.google.com/maps/search/?api=1&query=35.8713,128.6018",https://map.naver.com/v5/search/%EB%8C%80%EA%B5%AC%EA%B4%91%EC%97%AD%EC%8B%9C,nominatim,0.9,doc_0060|doc_0061|doc_0062|doc_0063|doc_0064|doc_0065|doc_0066|doc_0067|doc_0068|doc_0069|doc_0070|doc_0071|doc_0072,"대구광역시, 대한민국",40.84,0.52,9.91,
plc_002,달성,達城,대구광역시 달성군,대구광역시,달성군,35.7753,128.4312,35.6067585,35.9431103,128.3511837,128.6966243,"https://www.google.com/maps/search/?api=1&query=35.7753,128.4312",https://map.naver.com/v5/search/%EB%8C%80%EA%B5%AC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EB%8B%AC%EC%84%B1%EA%B5%B0,nominatim,0.9,doc_0038|doc_0039|doc_0040|doc_0041|doc_0042|doc_0043|doc_0044|doc_0045|doc_0046|doc_0047|doc_0048|doc_0049|doc_0050|doc_0051|doc_0052|doc_0053|doc_0054|doc_0055|doc_0056|doc_0057|doc_0058|doc_0059,"달성군, 대구광역시, 대한민국",57.81,4.39,320.73,
plc_003,청도,淸道,경상북도 청도군,경상북도,청도군,35.6473012,128.7348468,35.5663752,35.8461347,128.5264586,129.0471979,"https://www.google.com/maps/search/?api=1&query=35.6473012,128.7348468",https://map.naver.com/v5/search/%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%EC%B2%AD%EB%8F%84%EA%B5%B0,nominatim,0.9,doc_0073|doc_0074|doc_0075|doc_0076|doc_0077|doc_0078|doc_0079|doc_0080|doc_0081|doc_0082|doc_0083|doc_0084|doc_0085|doc_0086|doc_0087|doc_0088|doc_0089|doc_0090|doc_0091|doc_0092|doc_0093|doc_0094|doc_0095,"청도군, 경상북도, 대한민국",90.96,2.41,49.77,
plc_004,밀양,密陽,경상남도 밀양시,경상남도,밀양시,35.503839,128.7466992,35.3443694,35.6388138,128.5724402,129.0254953,"https://www.google.com/maps/search/?api=1&query=35.503839,128.7466992",https://map.naver.com/v5/search/%EA%B2%BD%EC%83%81%EB%82%A8%EB%8F%84%20%EB%B0%80%EC%96%91%EC%8B%9C,nominatim,0.9,doc_0096|doc_0097|doc_0098|doc_0099|doc_0100|doc_0101|doc_0102|doc_0103|doc_0104|doc_0105|doc_0106|doc_0107|doc_0108|doc_0109|doc_0110|doc_0111|doc_0112|doc_0113|doc_0114|doc_0115|doc_0116|doc_0117|doc_0118|doc_0119|doc_0120|doc_0121|doc_0122|doc_0123,"밀양시, 경상남도, 대한민국",27.11,2.10,196.66,
plc_005,창녕,昌寧,경상남도 창녕군,경상남도,창녕군,35.5443876,128.4921938,35.3731575,35.6823849,128.3492242,128.6517277,"https://www.google.com/maps/search/?api=1&query=35.5443876,128.4921938",https://map.naver.com/v5/search/%EA%B2%BD%EC%83%81%EB%82%A8%EB%8F%84%20%EC%B0%BD%EB%85%95%EA%B5%B0,nominatim,0.9,doc_0124|doc_0125|doc_0126|doc_0127|doc_0128|doc_0129|doc_0130|doc_0131|doc_0132|doc_0133|doc_0134|doc_0135|doc_0136|doc_0137|doc_0138|doc_0139|doc_0140|doc_0141|doc_0142|doc_0143|doc_0144|doc_0145|doc_0146|doc_0147|doc_0148|doc_0149|doc_0150|doc_0151|doc_0152|doc_0153|doc_0154|doc_0155|doc_0156|doc_0157|doc_0158|doc_0159|doc_0160|doc_0161|doc_0162|doc_0163,"창녕군, 경상남도, 대한민국",67.94,3.57,190.60,
plc_006,동래,東萊,부산광역시 동래구,부산광역시,동래구,35.2052,129.0837,35.1826841,35.2258841,129.0434213,129.1164467,"https://www.google.com/maps/search/?api=1&query=35.2052,129.0837",https://map.naver.com/v5/search/%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C%20%EB%8F%99%EB%9E%98%EA%B5%AC,nominatim,0.9,doc_0164|doc_0165|doc_0166|doc_0167|doc_0168|doc_0169|doc_0170|doc_0171|doc_0172|doc_0173|doc_0174|doc_0175|doc_0176|doc_0177|doc_0178|doc_0179|doc_0180|doc_0181|doc_0182|doc_0183|doc_0184|doc_0185|doc_0186|doc_0187|doc_0188|doc_0189|doc_0190|doc_0191|doc_0192|doc_0193|doc_0194,"동래구, 부산광역시, 대한민국",9.37,1.35,236.28,
plc_007,울산,蔚山,울산광역시,울산광역시,,35.5391697,129.3119136,35.1861705,35.7244899,128.9707354,129.720619,"https://www.google.com/maps/search/?api=1&query=35.5391697,129.3119136",https://map.naver.com/v5/search/%EC%9A%B8%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C,nominatim,0.9,doc_0195|doc_0196|doc_0197|doc_0198|doc_0199|doc_0200|doc_0201|doc_0202|doc_0203|doc_0204|doc_0205|doc_0206|doc_0207|doc_0208|doc_0209|doc_0210|doc_0211|doc_0212|doc_0213,"울산광역시, 대한민국",8.91,1.14,67.90,
plc_008,기장,機張,부산광역시 기장군,부산광역시,기장군,35.2447818,129.2215462,35.124344,35.3892236,129.1092904,129.4889527,"https://www.google.com/maps/search/?api=1&query=35.2447818,129.2215462",https://map.naver.com/v5/search/%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B8%B0%EC%9E%A5%EA%B5%B0,nominatim,0.9,doc_0214|doc_0215|doc_0216|doc_0217|doc_0218|doc_0219|doc_0220|doc_0221,"기장군, 부산광역시, 대한민국",11.86,2.04,26.35,
plc_009,언양,彦陽,울산광역시 울주군 언양읍,울산광역시,울주군,35.5688426,129.1255144,35.5685708,35.5694706,129.1251315,129.125882,"https://www.google.com/maps/search/?api=1&query=35.5688426,129.1255144",https://map.naver.com/v5/search/%EC%9A%B8%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C%20%EC%9A%B8%EC%A3%BC%EA%B5%B0%20%EC%96%B8%EC%96%91%EC%9D%8D,nominatim,0.9,doc_0222|doc_0223|doc_0225,"언양읍 행정 복지센터 공원, 울주군, 울산광역시, 대한민국",75.71,0.30,120.01,
plc_010,경주,慶州,경상북도 경주시,경상북도,경주시,35.8556705,129.2248811,35.6334917,36.0793495,128.9701795,129.5543,"https://www.google.com/maps/search/?api=1&query=35.8556705,129.2248811",https://map.naver.com/v5/search/%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%EA%B2%BD%EC%A3%BC%EC%8B%9C,nominatim,0.9,doc_0224|doc_0226|doc_0227|doc_0228|doc_0229|doc_0230|doc_0231|doc_0232|doc_0233|doc_0234|doc_0235,"경주시, 경상북도, 대한민국",44.04,0.29,300.47,
